Username,Komentar,Sentimen
@mama.isel5,"mbg anak gue di Bekasi,udah kaya ngasih makan bebek ðŸ¤£ðŸ¤£",😡 Negatif
@kunyukwisnu8.80,when ya mbg kek gini ðŸ¥²ðŸ¥²ðŸ¥²,😊 Positif
@akbaralmunawir,SEDANGKAN MBG GUAðŸ—ðŸ³ðŸ—ðŸ³ðŸ—ðŸ³,😐 Netral
@sss29824,kenapa mbg sekolah lain enak2 . punya anak saya astagaaaaa,😡 Negatif
@caca092402,sekolah mana yang beruntung ituðŸ˜­,😊 Positif
@nanac_09,tag sppg kalian ðŸ—¿ðŸ˜­,😐 Netral
@rikamaulida35,"mbg d tmpatku , telor di balado ,kalo ngga , telor di rebus pake tepung panir ðŸ˜­",😡 Negatif
@nezolshop05,sedangkan mbg ku ðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ˜­,😡 Negatif
@rubyal60,itu yg ijo ijo apa? kayak cabe..,😐 Netral
@naura.hasna.annid225,hati hati ya bawa mobil nyaaðŸ˜­,😐 Netral
@dede_sukaeskrim,buah yg sering ada di mbg -anggur -jeruk -melon -semangka -pisang,😐 Netral
@99sup_,qha qha mbg jumâ€™at berkahðŸ¤­,😊 Positif
@twelast,ga sebanyak itu aslinyaðŸ˜¹,😡 Negatif
@leviaaliaa,meanwhile jasuke di skola ku ðŸ˜Œ,😐 Netral
@rannumj,JASUKE NYA BANYAK BGT IH ðŸ’”ðŸ’”,😡 Negatif
@sppglubuklinggaubarat1,fyi susu kental manis hanya sebagai toping jasuke yaa adikâ€ bukan untuk diminum sebagai pengganti susu full creamðŸ™ðŸ»ðŸ™ðŸ»,😐 Netral
@akiyars_3,mbg impiang gwðŸ˜­,😊 Positif
@affanfaisal162,mbg org enakÂ² mbg disekolah kami biasa aja,😡 Negatif
@khuyyy15,menu mbg kalian apa,😐 Netral
@naasukaamachaaa,mbg ku ga enak semua njir,😡 Negatif
@user3961632015481,"min ngapo disaat kami libur, makanan nyo enak, yang kemarin"" jugo enak sih tapi yang ini beda",😊 Positif
@ayambebek_8,plis gk prnh dpet sebanyak iniðŸ—¿,😡 Negatif
@rizz.409,bukan makanan bergizi   adanya makanan beracunðŸ˜‚,😡 Negatif
@sur.yanto851,siapa yang belum   makan bergizi,😐 Netral
@tru_146,aku baru tadi dapet besok   menu nya apa ya?? [thinking][thinking],😐 Netral
@loveelyy_afifa,di sekolah ku tidak   pernah ada MBG ðŸ˜­ðŸ˜­ðŸ˜­kami memiliki mu MBG ðŸ˜­,😡 Negatif
@raniasukadancebrazil,akuuuuu tadii   di antarr enkkk bgtt,😊 Positif
@niken.aini.nurr.a,jangan ngomong   makan bergizi,😡 Negatif
@zahida_3450,yg belum kebagian mbg   sabar y.pasti dapat kok,😊 Positif
@ardisetory2,assalamualaikum   warahmatullahi maaf soalnya sama-sama aku udah banyak keracunan nasinya Mama   jamuran masuknya jamuran semua keracunan,😡 Negatif
@user95300533849223,aku tadi pagi   dapat mbg,😐 Netral
@jeanydarwis,itu jangan di makan   ada beracun nya,😡 Negatif
@wazira994,eh ujung ujungnya malah   keracunan ðŸ˜¹,😡 Negatif
@meyd190,makanan bergizi tidak   bergizi berracunðŸ˜‚ðŸ˜‚ðŸ˜‚,😡 Negatif
@sintia.yolanda.ame,halah,😐 Netral
@dcicy0,SIAPA SEKOLAH BERUNTUNG   ITUUU,😊 Positif
@saidatullai,MBGG TUHH   GINII!!,😊 Positif
@kayla.aprilia67,ini baru makanan   bergizi bukan makanan hemat pangkal korupsiðŸ¤­,😊 Positif
@66uuuu66,meanwhile mbg   gua..,😡 Negatif
@4dalahpokokny42,[Sticker],😐 Netral
@raa00.4,plisss apaa dana buat mbg   ituu setiap daerah beda beda yak?ðŸ˜­ðŸ˜­ðŸ˜­,😐 Netral
@asepnandi30,masyaallah   â¤ï¸,😊 Positif
@albert7_5,Pov: menu ketika kepala   dapurnya anti korupsi,😊 Positif
@ara_cwkeonho,SEKOLAH BERUNTUNG   MANAA GWE TANYAA!!!,😊 Positif
@wahyuarifin990,mbg ku 3   hariðŸ—¿,😐 Netral
@mirna030993,MBGG TUHH   GINII!!,😊 Positif
@canter.hdx45,menu besok itu   kak?,😐 Netral
@araasww,ini mah mbgnya g korupsi   ðŸ˜‚ðŸ˜‚ðŸ˜‚ keren,😊 Positif
@atilahfaturahmanp,harus nya pak   Prabowo seluruh Indonesia d harus kan setiap hari menunya yg sama.. misal   hari Senin-sabtu menu nya apa..KLO misal kan ada skolah yg beda menu nya   harus kena sangsi pak..biar adil biar enak pak,😐 Netral
@srithvyoongi,ada lawan   gak,😐 Netral
@etyy403,dii daerah aku gaa gituu   plssðŸ˜­,😡 Negatif
@niungggg,MAUUUU,😊 Positif
@17.kepo,KOK BANYAKK?   ðŸ˜­,😐 Netral
@alda_nia03,BERUNTUNG BANGETT YANG   DAPET MBG GITUðŸ˜”,😊 Positif
@apinnn1459,tag sppg   kalian,😐 Netral
@cbiww10,lombok?,😐 Netral
@lia_aa049,enk bener disekolah gw   cuman susu full cream yg kecil+pisang kecil+telur rebus 1+roti 2k an+ jjnan   kacang ðŸ¥œðŸ˜­ðŸ˜­,😡 Negatif
@garojou_pnya23,tag mbg   kalian,😐 Netral
@linda03_050,punya gw roti tawarnya   penyok njrðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,😡 Negatif
@qo_sweptyy,"bangg kalo libur   sekolah akhir tahun, mbg tetep dapet apa gak bang??",😐 Netral
@eka4juniarty1,diii sekolahannn   kuuu kokk gaaa dapett yg ginii??,😡 Negatif
@hal_waimup,tag MBG kalian biar di   bikinin kayak gini,😊 Positif
@astungkara69,ENAK BANGET SUSU DAN   ROTI DAN TELUR' NY DAN BUAH NAGA ðŸ™ðŸ»,😊 Positif
@liaa_aaa28,tag mbg   kaliann,😐 Netral
@t1wikk_,mustahil sih,😡 Negatif
@kde_rani,"KOK ORG' ENAK YA MKN NYA, PNYA SEKOLAH KU SEHAT BGT JD GA TRLALU ENAK ðŸ˜­ðŸ˜­",😡 Negatif
@furiyyy3,ini jg enak kok kakðŸ¤­ðŸ¤­,😊 Positif
@liza_kh2,itu di kasih cuma sekali aja ya?,😐 Netral
@airlangga_narendra.11,SMPN 6 kah,😐 Netral
@jju.poyoyoi7,siapa yg dapet spagettiðŸ˜ðŸ¤­,😐 Netral
@apasihbeajah79_,tadi di sekolah ku isinya mie ayam kakðŸ”¥,😊 Positif
@ddeyaa05,KOKK SEKOLAH GUE BELUM DAPET ANJR ðŸ˜­ðŸ˜­,😡 Negatif
@agastya_lgi,4 sehat 5 kurang min,😡 Negatif
@saranfta,yg d bgiin mkan gratis cmn di skolah mahal kah??â˜¹ï¸â˜¹ï¸,😡 Negatif
@co0kiess40,kok samaa jir tdi pagi persis dpet ini jg,😐 Netral
@dwipasaari,setiap hari dapet mbgðŸ˜†ðŸ˜‹,😊 Positif
@saadaaa,sklh ku burgerny pk telurðŸ˜­,😐 Netral
@pputtme,yg belum dapet nangis di pojokanðŸ˜­,😡 Negatif
@ahzadanish172,MBG gw:ðŸ—ðŸ¥šðŸšðŸ¥—ðŸŒðŸ‰,😊 Positif
@bubblebiep,ak msukin sw yh,😐 Netral
@chillbel_,wennak,😊 Positif
@jeulos3,"Tolong di viralkan ,mbg kami cuma gini ,mana di kurangi stock dari 100 jadi 50",😡 Negatif
@zriell722,Seminggu sekali Mending di jadiin bansos beras 5karung minyak 10 liter,😡 Negatif
@theladyin1,mbg MIN 2 sukabumi dapur MBG surade kabupaten sukabumi. ini anggaran 15 ribu tp anak2 dikasih cuma 7 ribu makanna gk dimakan anak2 gak suka.,😡 Negatif
@sandev20_,masa ðŸ˜­ðŸ¤£,😐 Netral
@riski.dwi.aryani,"enak2 banget si menu disna2 , sini ga enak2",😡 Negatif
@kembali.esokpagi,Ooo ikiðŸ˜­,😐 Netral
@adriana_ndila,mbg di kampungku ðŸ—¿,😐 Netral
@muhammadalwiarsenal25,susu doang? kenapa gak tambahin aqua takut keselek makannya kurang itu buat minumnya mnurut aku,😡 Negatif
@apriliantaguruhputra,inakkkk,😊 Positif
@bibiyyaaa,izin kenapa MBG tidak untuk anak paud dan TK? sedangkan di usia segitu peting sekali mendapat asupan makanan sehat,😐 Netral
@flaminggo_001,ðŸ¤£ðŸ¤£ðŸ¤£,😐 Netral
@dittap5,ada hewannya kak lapor smp8 kota bogor,😡 Negatif
@marsahata.siantur,"di Sumut mbgnya nggk seperti ini, makanya anak selalu mengeluh",😡 Negatif
@5u51lowati,mbok ngno seng enk op kq pindang ae,😊 Positif
@nayafatiya01,menu ne enakkk riquest dimsum Mentai susu ne putih,😊 Positif
@briliantclass3,muantappp minnðŸ«°ðŸ»,😊 Positif
@hermawatithamrinhamiizan,"Bismillahirrohmanirrohiim Semoga SPPG Tegalgede 03 Selalu Lancar, Aman & Barokah. *Aamiin aamiin aamiin ya robbal'alamiin* ðŸ¤²",😊 Positif
@sdmuhammadiyahtegalgede,minn menu nya besok apaa niehh,😐 Netral
@vnojlskngencsta,request mie ayam plis,😐 Netral
@adektasyaimut,kemaren,😐 Netral
@endah.sawitri4,"terima kasih,anak2 tk Aisyiyah parakan sukaðŸ¥°",😊 Positif
@nandoxixii,WKWKWKWKWKWKWKWK YANG PKL KAPAN NIHHH???,😐 Netral
@bangjoe_ipmindonesiaemas,semangat untuk selalu terbaik yahðŸ™ðŸ™ðŸ™,😊 Positif
@jihan01339,2027,😐 Netral
@fitria.jambi,kak aku boleh rekws menh MBG gakâ˜ºï¸,😐 Netral
@rangsangsahid2,inpo lokerr,😐 Netral
@widiaazzaa,mantapsðŸ™ðŸ™,😊 Positif
@wesi242,Aku gak kebagian jeruk e?ðŸ˜­,😡 Negatif
@ayusetia393,tadi anakqu dapet e godokan kak.. kacang.telo.tahu .telur. jeruk,😐 Netral
@puspadiyah123,"mbg makin lama makin di ungkret,,pertama dapat senang lama2 kok semakin anak q pertama semangat sekali seminggu selalu di habisin,tp skrg selalu di taruh tempat bekal e di bawa pulang gk di makan di sekolahan",😡 Negatif
@senfaiy23hsu,telur 2000 telo 1000 kripik 1000 total 4000 sisanya pada kemana,😡 Negatif
@aimadhy,ini pas di videoin biar kelihatan bagus nya.. na ini aslinya,😡 Negatif
@adewsity,nah kalo gini yakin ga di protes,😊 Positif
@saaaa_nis,approve,😊 Positif
@rotioverthink28,request an ku,😐 Netral
@nasrull0110,,😊 Positif
@justpookie_rantes,untung aku pernah tiga kali,😊 Positif
@ekoa339,"knp ini mantap ,tp di kenyataan nya ngga sesuai",😡 Negatif
@keysa6381,giliran mau di tutup dibikin enak2 menunya,😡 Negatif
@sardan.yahya,lanjutkan MBG,😊 Positif
@meychaayuarst,mbg yg bnr bnr mbg ini mah,😊 Positif
@chelsichi.,tag sppg klen we,😐 Netral
@devyy2911,sedangkan di aku,😐 Netral
@_rr4inbow5215,sekolah mana yg beruntung itu,😊 Positif
@surazuli24,yg di pamerin pasti yg bagus nya aj,😡 Negatif
@untungsimamora88,"semua orang juga tahu kok, kalau yang di video ini menu nya top,.. Tapi cuma hari itu aja,, selebihnya tau sama tau ajalah kan",😡 Negatif
@winaaaaa2908,"duh nyeri² ya komenannya,, padahal di sekolah saya makananya juga gini, malahan buahnya lebih banyak, segitunya benci pak prabowo",😊 Positif
@myb29.5,pkoknya MBG harus tutup. ganti kebutuhan pkok murah,😡 Negatif
@diki67475,andai stiap menu sppg waras kaya gini,😊 Positif
@unrecognized59,kok ya kepikiran pakai kacang tanah rebus ? mana ga di kupas lagi,😡 Negatif
@rafy.andre8,bagus ya sppg nya pencitraan,😡 Negatif
@user144383485rehan,"yg di video in Kya gini nyampe sekolah beda lgi,udh GK anh",😡 Negatif
@husnanm2711,"yang laen anggurnya 3 biji, yg divideoin 5 biji",😐 Netral
@glancy.gwen,Biasanya anggur 3 biji ini kok 5 kelebihan 2 itu,😡 Negatif
@saspnty,tagg sppg kalian,😐 Netral
@ilmsand0808,"orang2 pada nanya mana sayurannya, sedangkan anak2 banyak bgt yg gamau makan sayurnya",😐 Netral
@akubilawimutt00__,MBG orang pada enak jirr,😊 Positif
@daaa_380,sedang kan MBG ku,😊 Positif
@_mulya72,mangganya menggiurkan. jadi pingin,😊 Positif
@sucaysh,jauh banget sama mbg yng aku dpet,😡 Negatif
@mama.isel5,"mbg anak gue di Bekasi,udah kaya ngasih makan bebek",😡 Negatif
@kunyukwisnu8.80,when ya mbg kek gini,😊 Positif
@akbaralmunawir,SEDANGKAN MBG GUA,😐 Netral
@caca092402,sekolah mana yang beruntung itu,😊 Positif
@nanac_09,tag sppg kalian,😐 Netral
@rikamaulida35,"mbg d tmpatku , telor di balado ,kalo ngga , telor di rebus pake tepung panir",😡 Negatif
@nezolshop05,sedangkan mbg ku,😡 Negatif
@naura.hasna.annid225,hati hati ya bawa mobil nya,😐 Netral
@99sup_,qha qha mbg jum’at berkah,😊 Positif
@twelast,ga sebanyak itu aslinya,😡 Negatif
@leviaaliaa,meanwhile jasuke di skola ku,😐 Netral
@rannumj,JASUKE NYA BANYAK BGT IH,😡 Negatif
@sppglubuklinggaubarat1,fyi susu kental manis hanya sebagai toping jasuke yaa adik bukan untuk diminum sebagai pengganti susu full cream,😐 Netral
@akiyars_3,mbg impiang gw,😊 Positif
@affanfaisal162,mbg org enak² mbg disekolah kami biasa aja,😡 Negatif
@user3961632015481,"min ngapo disaat kami libur, makanan nyo enak, yang kemarin jugo enak sih tapi yang ini beda",😊 Positif
@ayambebek_8,plis gk prnh dpet sebanyak ini,😡 Negatif
@rizz.409,bukan makanan bergizi adanya makanan beracun,😡 Negatif
@loveelyy_afifa,di sekolah ku tidak pernah ada MBG kami memiliki mu MBG,😡 Negatif
@niken.aini.nurr.a,jangan ngomong makan bergizi,😡 Negatif
@zahida_3450,yg belum kebagian mbg sabar y.pasti dapat kok,😊 Positif
@ardisetory2,assalamualaikum warahmatullahi maaf soalnya sama-sama aku udah banyak keracunan nasinya Mama jamuran masuknya jamuran semua keracunan,😡 Negatif
@user95300533849223,aku tadi pagi dapat mbg,😐 Netral
@jeanydarwis,itu jangan di makan ada beracun nya,😡 Negatif
@wazira994,eh ujung ujungnya malah keracunan,😡 Negatif
@meyd190,makanan bergizi tidak bergizi berracun,😡 Negatif
@dcicy0,SIAPA SEKOLAH BERUNTUNG ITUUU,😊 Positif
@saidatullai,MBGG TUHH GINII!!,😊 Positif
@kayla.aprilia67,ini baru makanan bergizi bukan makanan hemat pangkal korupsi,😊 Positif
@66uuuu66,meanwhile mbg gua..,😡 Negatif
@raa00.4,plisss apaa dana buat mbg ituu setiap daerah beda beda yak?,😐 Netral
@asepnandi30,masyaallah,😊 Positif
@albert7_5,Pov: menu ketika kepala dapurnya anti korupsi,😊 Positif
@ara_cwkeonho,SEKOLAH BERUNTUNG MANAA GWE TANYAA!!!,😊 Positif
@wahyuarifin990,mbg ku 3 hari,😐 Netral
@mirna030993,MBGG TUHH GINII!!,😊 Positif
@canter.hdx45,menu besok itu kak?,😐 Netral
@araasww,ini mah mbgnya g korupsi keren,😊 Positif
@atilahfaturahmanp,harus nya pak Prabowo seluruh Indonesia di haruskan setiap hari menunya yg sama.. misal hari Senin-sabtu menu nya apa..KLO misal kan ada skolah yg beda menu nya harus kena sangsi pak..biar adil biar enak pak,😐 Netral
@srithvyoongi,ada lawan gak,😐 Netral
@etyy403,dii daerah aku gaa gituu plss,😡 Negatif
@17.kepo,KOK BANYAKK?,😐 Netral
@alda_nia03,BERUNTUNG BANGETT YANG DAPET MBG GITU,😊 Positif
@apinnn1459,tag sppg kalian,😐 Netral
@lia_aa049,enk bener disekolah gw cuman susu full cream yg kecil+pisang kecil+telur rebus 1+roti 2k an+ jjnan kacang,😡 Negatif
@garojou_pnya23,tag mbg kalian,😐 Netral
@linda03_050,punya gw roti tawarnya penyok njr,😡 Negatif
@qo_sweptyy,"bangg kalo libur sekolah akhir tahun, mbg tetep dapet apa gak bang??",😐 Netral
@eka4juniarty1,diii sekolahannn kuuu kokk gaaa dapett yg ginii??,😡 Negatif
@hal_waimup,tag MBG kalian biar di bikinin kayak gini,😊 Positif
@astungkara69,ENAK BANGET SUSU DAN ROTI DAN TELUR' NY DAN BUAH NAGA,😊 Positif
@liaa_aaa28,tag mbg kaliann,😐 Netral
@kde_rani,"KOK ORG' ENAK YA MKN NYA, PNYA SEKOLAH KU SEHAT BGT JD GA TRLALU ENAK",😡 Negatif
@furiyyy3,ini jg enak kok kak,😊 Positif
@jju.poyoyoi7,siapa yg dapet spagetti,😐 Netral
@apasihbeajah79_,tadi di sekolah ku isinya mie ayam kak,😊 Positif
@ddeyaa05,KOKK SEKOLAH GUE BELUM DAPET ANJR,😡 Negatif
@saranfta,yg d bgiin mkan gratis cmn di skolah mahal kah??,😡 Negatif
@dwipasaari,setiap hari dapet mbg,😊 Positif
@saadaaa,sklh ku burgerny pk telur,😐 Netral
@pputtme,yg belum dapet nangis di pojokan,😡 Negatif
@ahzadanish172,MBG gw,😊 Positif
@sandev20_,masa,😐 Netral
@kembali.esokpagi,Ooo iki,😐 Netral
@adriana_ndila,mbg di kampungku,😐 Netral
@flaminggo_001,,😐 Netral
@briliantclass3,muantappp minn,😊 Positif
@hermawatithamrinhamiizan,"Bismillahirrohmanirrohiim Semoga SPPG Tegalgede 03 Selalu Lancar, Aman & Barokah. Aamiin aamiin aamiin ya robbal'alamiin",😊 Positif
@endah.sawitri4,"terima kasih,anak2 tk Aisyiyah parakan suka",😊 Positif
@bangjoe_ipmindonesiaemas,semangat untuk selalu terbaik yah,😊 Positif
@fitria.jambi,kak aku boleh rekws menh MBG gak,😐 Netral
@widiaazzaa,mantaps,😊 Positif
@wesi242,Aku gak kebagian jeruk e?,😡 Negatif
@cyl.laww,kok skolahku terlihat mematikan,😡 Negatif
@yulaikah261,kunduran kemarenn,😐 Netral
@xxxzxxxz16,saran kak kalo lauk jangan dicampur sama sayur karena mudah cepet basi,😐 Netral
@ummu.arsya1,"Menu di batulicin gk kreatif, sayur wortel trs",😡 Negatif
@bundaelok72,"Menu²nya menarik semua. Good job. Amanah membelanjakan anggaran MBG, berkualitas semua menunya",😊 Positif
@zenberyl1,izin save untuk tugas,😐 Netral
@mairadin,"Wawww masyaallah enak sekali, ini contoh pihak pengelola dan pihak catering amanah",😊 Positif
@alterntif.shopping,"Hidupp program prabowoo setidak nya uang drasakan oleh para rakyatt bukan di makan untuk prut pribadi, pengangguran merasakan ada nya lapangan kerja dgan gaji yang sangat memuaskan, stidak nya walaupn hanya bisa makan sehari sekali tapi itu lebih dari ckup untuk anak2 yg kurang mampu. Ekonomi rakyat mulai membaik dgan ada nya program prabowo",😊 Positif
@lizjunpribadi,"enak2 iiiih pasti anak2 suka..hebat tim ahli giji SM tim masaknya,ga asal2an kurang bumbu KY makanan rumahsakit",😊 Positif
@joshuahartono2911,"@alterntif.shopping:Hidupp program prabowoo setidak nya uang drasakan oleh para rakyatt bukan di makan untuk prut pribadi, pengang",😊 Positif
@saturn.sagp,burgernya enakk minn,😊 Positif
@fyyy1232,top bgt mbg nya ini gak membosankan ahli gizinya kreatif,😊 Positif
@adilarafaaa,kak spill cetakan nasi yg kotaknya pake apaa,😐 Netral
@orangutan830,sekolah bhineka Nusantara blom kak,😐 Netral
@eva_salsabila_firdaus,knp di sekolah anak saya g gitu menunya,😡 Negatif
@lazmaha,tag sppg kalian,😐 Netral
@nayynayy574,mbg kita mah telur muluu,😡 Negatif
@partikelkecik,Fruit sando tahan berapa lama ya,😐 Netral
@gpskyb_lovvers01,Di sekol ku sekarang kalo dpt mbg ga blh keringan,😡 Negatif
@sukaaaarenjerrrssss,bang besok kasih enak dong karena besok aku ulang tahun,😐 Netral
@nuhaica2,jasa tag,😐 Netral
@rai_missher,[Sticker],😐 Netral
@sisil7408,mbg akuu tadi burger SAMA susu kotak,😐 Netral
@alula0914,"iya sumpah enak banget ka. apalagi rotinya enak, pokoknya sppg 001 paling madep",😊 Positif
@0nlyzas,rela guwa abisin klo mbg nya inii,😊 Positif
@latasyaamora,berkelasss,😊 Positif
@kecilbener,min pindah Pat ku aja mau ga??,😊 Positif
@g_stc1,sama,😐 Netral
@myaalaliff,tag aplg kalian skrg jugaa,😐 Netral
@sfanicrkla,sppg orang pada enak enak jirrr ga kyk sppg gua,😡 Negatif
@user542501778,klo budget nya sama kenapa penampakannya beda ya.. pdhl bisa di contoh sppg lainya yg baik,😡 Negatif
@l0vynhiihii,enak bgt menunya,😊 Positif
@emmaayudia,MBG anak aku yang TK dimsum goreng sama tahu gimana ini pak prabowo,😡 Negatif
@tulangigakamu,tp yg di terima menu nya begini.. gmn tuh,😡 Negatif
@lolssmanurung,"monday kali yaak, kok Sunday",😐 Netral
@vitaa1994,Dan gerindra ga akan berani repost menu MBG yg di keluhkan masyarakat,😡 Negatif
@putrisartika14,ada lawan ?,😐 Netral
@aryamey3,kok fyp muncul na mbg pada bagus² tapi daerah Aq kok ga ya..,😡 Negatif
@5alwaaa,"mau, bumil ngidam mbg ini mah:(",😊 Positif
@kadeabcd,mbg anakku TK selalu dibwa plg gamau dimakan,😡 Negatif
@tyrexmuw,"Di sini gabole difoto, gabole diposting, gabole laporan klo ga sesuai dan ada rasa yg aneh. Katanya tiap dapur pnya aturan masing2. Hemmm",😡 Negatif
@tokosiibu,menu mbg anak ku tk,😐 Netral
@dapoermamahaidar,untuk hari ini dan besok,😐 Netral
@kthsckhu0,ko disekolah aink teu gini,😡 Negatif
@gabuttbrow,dpt dri mbg,😐 Netral
@sppgleterpressmedantimur,Kok masih menggunakan keripik tempe? Padahal sudah dilarang bgn,😡 Negatif
@dimas.anggara9118,kenapa sih slalu langganan tempe kering padahal rasa nya kurang enak ..mending tempe bacem orek jelas kelihatan gizi nya,😡 Negatif
@sppg.pekuwon,izin copy min,😐 Netral
@skycasties,bukannya keripik'an gaboleh ya kak? soalnya kandungan gizinya gajelas,😡 Negatif
@princess_auroree,kak kayanya di SE terbaru gak boleh pake keripik tempe?,😐 Netral
@migoreng1_0,Mantep bgt min,😊 Positif
@pt.mbg_,"halo semuanya.., yang mau nyanri omprengan untuk mbg atau bisnis lainnya boleh mampir ke bio ya. Kita ready stock",😐 Netral
@sppg.ratuajeng.krw,izin copas min,😐 Netral
@alvino_sbt,MBG!!!!!!!!!!!!!!!!!!,😐 Netral
@ayiyeyaa,APAAN KERIPIK TEMPE SAGU?!,😡 Negatif
@fantastic4_1,"warga yang memilih mundur, mohon maaf bu guru, ijin, ke 3 anak saya tidak ambil mbg",😡 Negatif
@ar_zulio,"aku habis,dari SDN karya Bhakti",😐 Netral
@user5285111010961,mntappp,😊 Positif
@sppg.cisambeng,ib yaa,😐 Netral
@kgmisbah,mantap menu nya min,😊 Positif
