No,Username,Komentar,Sentimen
340,@ardisetory2,assalamualaikum   warahmatullahi maaf soalnya sama-sama aku udah banyak keracunan nasinya Mama   jamuran masuknya jamuran semua keracunan,😡 Negatif
500,@eka4juniarty1,diii sekolahannn kuuu kokk gaaa dapett yg ginii??,😡 Negatif
267,@plsimprove.00,guna nya kacang kulit buat apaan? mending diganti yang bermanfaat dah,😡 Negatif
412,@endah.sawitri4,"terima kasih,anak2 tk Aisyiyah parakan sukaðŸ¥°",😊 Positif
134,@.1234zaman,tag sppg kalian!!,😐 Netral
521,@bangjoe_ipmindonesiaemas,semangat untuk selalu terbaik yah,😊 Positif
225,@strawberry.keyy,ank ku td crita kynya gak d mkn mbg ny karna basi,😡 Negatif
411,@adektasyaimut,kemaren,😐 Netral
451,@sucaysh,jauh banget sama mbg yng aku dpet,😡 Negatif
395,@sandev20_,masa ðŸ˜­ðŸ¤£,😐 Netral
22,@cil.aza,"kalo emang niat ngasihnya yg bersih + wangi dong apaan tempat nya aja bau banget apalgi sayur nya, blm lagi nasi kuningnya wkwk rasa apaan itu nasi kuning",😡 Negatif
519,@hermawatithamrinhamiizan,"Bismillahirrohmanirrohiim Semoga SPPG Tegalgede 03 Selalu Lancar, Aman & Barokah. Aamiin aamiin aamiin ya robbal'alamiin",😊 Positif
539,@eva_salsabila_firdaus,knp di sekolah anak saya g gitu menunya,😡 Negatif
203,@mytry18,Beda banget minnn😂,😐 Netral
464,@sppglubuklinggaubarat1,fyi susu kental manis hanya sebagai toping jasuke yaa adik bukan untuk diminum sebagai pengganti susu full cream,😐 Netral
315,@caca092402,sekolah mana yang beruntung ituðŸ˜­,😊 Positif
392,@jeulos3,"Tolong di viralkan ,mbg kami cuma gini ,mana di kurangi stock dari 100 jadi 50",😡 Negatif
6,@cia_arja,"Gini baru bener konsep MBG nya, kenapa nggk diberlakukan sama di semua daerah?",😊 Positif
128,@74szzcv7_,pov sppg ga korupsi,😊 Positif
516,@adriana_ndila,mbg di kampungku,😐 Netral
16,@hend._.69,"konsepnya makanan sehat, tapi suka ada yg keracunan MBG 😑",😡 Negatif
32,@reskysulaiman326,bg boleh request nasi goreng aym susu coklat sayur kol nasi kuning sama mie gpp kan bg salam dari SDN 1 topa,😐 Netral
561,@putrisartika14,ada lawan ?,😐 Netral
230,@bang_tuing86,makan gratis dari mana itu biaya dari semua rakyat Indonesia,😡 Negatif
153,@sinarjinar,buah semangkanya di potong jam berapa kak?,😐 Netral
387,@saadaaa,sklh ku burgerny pk telurðŸ˜­,😐 Netral
85,@chriswanbennoda,MBG kalo dana nya di gunain sepenuhnya.,😊 Positif
376,@kde_rani,"KOK ORG' ENAK YA MKN NYA, PNYA SEKOLAH KU SEHAT BGT JD GA TRLALU ENAK ðŸ˜­ðŸ˜­",😡 Negatif
213,@mrs.lucas_xx444,"tidak ada nasi, bukan berarti tidak ada karbohidrat... bisa kita lihat di kotak makan sudah ada 5 potong kentang wedges, dan kentang itu adalah salah satu karbohidrat pengganti dari nasi",😊 Positif
140,@gajeboysclub,real or fake buat konten doang atau emang real masa porsi ribuan se rumit ini gak keteteran tuh,😐 Netral
242,@dell69812,beda setelah disekolahqn porsix pasti dikurangin.,😡 Negatif
318,@nezolshop05,sedangkan mbg ku ðŸ—ðŸ¥šðŸ—ðŸ¥šðŸ—ðŸ˜­,😡 Negatif
477,@meyd190,makanan bergizi tidak bergizi berracun,😡 Negatif
455,@caca092402,sekolah mana yang beruntung itu,😊 Positif
443,@user144383485rehan,"yg di video in Kya gini nyampe sekolah beda lgi,udh GK anh",😡 Negatif
325,@rannumj,JASUKE NYA BANYAK BGT IH ðŸ’”ðŸ’”,😡 Negatif
197,@ibuumutliah_,mantab menu e 🤤,😊 Positif
108,@mycapikkkkkkkk_que,jasa Tagg sppg,😐 Netral
506,@jju.poyoyoi7,siapa yg dapet spagetti,😐 Netral
288,@momydavy,mang ada ya anak 2 udah pandai makan selada ??,😐 Netral
579,@ayiyeyaa,APAAN KERIPIK TEMPE SAGU?!,😡 Negatif
337,@raniasukadancebrazil,akuuuuu tadii   di antarr enkkk bgtt,😊 Positif
328,@affanfaisal162,mbg org enakÂ² mbg disekolah kami biasa aja,😡 Negatif
545,@nuhaica2,jasa tag,😐 Netral
339,@zahida_3450,yg belum kebagian mbg   sabar y.pasti dapat kok,😊 Positif
63,@dinda.putri368,lah MBG gua makin hari makin gaenak jirr,😡 Negatif
474,@user95300533849223,aku tadi pagi dapat mbg,😐 Netral
258,@l0veer_f4ra,aku dapat dimsum kaya gtu hari jumat kmaren,😊 Positif
367,@lia_aa049,enk bener disekolah gw   cuman susu full cream yg kecil+pisang kecil+telur rebus 1+roti 2k an+ jjnan   kacang ðŸ¥œðŸ˜­ðŸ˜­,😡 Negatif
416,@fitria.jambi,kak aku boleh rekws menh MBG gakâ˜ºï¸,😐 Netral
322,@99sup_,qha qha mbg jumâ€™at berkahðŸ¤­,😊 Positif
43,@aisya_1.1,enakk betull,😊 Positif
444,@husnanm2711,"yang laen anggurnya 3 biji, yg divideoin 5 biji",😐 Netral
64,@_feebri.r.w,izin tag sppg,😐 Netral
397,@kembali.esokpagi,Ooo ikiðŸ˜­,😐 Netral
83,@wha10971,Tag sppg kalian,😐 Netral
330,@naasukaamachaaa,mbg ku ga enak semua njir,😡 Negatif
486,@wahyuarifin990,mbg ku 3 hari,😐 Netral
291,@indah.gemoy293,MIN BIKIN DANCE DI SDN 1 KEDUNG DALEM DONKKKKKK,😐 Netral
73,@awhyptr,menu mbg harusnya sm semua ga si serentak biar ga ada iri²an dan gizinya semua sm rata dan adil.,😊 Positif
379,@airlangga_narendra.11,SMPN 6 kah,😐 Netral
308,@sucaysh,jauh banget sama mbg yng aku dpetðŸ˜”,😡 Negatif
384,@saranfta,yg d bgiin mkan gratis cmn di skolah mahal kah??â˜¹ï¸â˜¹ï¸,😡 Negatif
343,@wazira994,eh ujung ujungnya malah   keracunan ðŸ˜¹,😡 Negatif
99,@asel0le_26,"Sistem pemorsiannya belum estafet ya. Padahal lebih cepet kalo omprengnya yang berjalan, atau emang keterbatasan fasilitas?",😐 Netral
282,@user144383485rehan,"ðŸ˜…yg di video in Kya gini nyampe sekolah beda lgi,udh GK anhðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚.",😡 Negatif
356,@mirna030993,MBGG TUHH   GINII!!,😊 Positif
565,@tyrexmuw,"Di sini gabole difoto, gabole diposting, gabole laporan klo ga sesuai dan ada rasa yg aneh. Katanya tiap dapur pnya aturan masing2. Hemmm",😡 Negatif
360,@srithvyoongi,ada lawan   gak,😐 Netral
353,@albert7_5,Pov: menu ketika kepala   dapurnya anti korupsi,😊 Positif
247,@zahwaajj485,d vidio bagus ah mbg aslina sapoe bagus k lanjutana biasa loba ank nu emgga suka,😡 Negatif
130,@jchiaa0,ini gimana sih sounding ke org dapur. gue bikin menu ribet dikit tiap gerak org protes anjir capek bgttt😭😭 di sisi lain foodwaste makin mengggunung👊,😡 Negatif
21,@xxywikk,pak/buu request lauknya ayam laos🤭,😐 Netral
366,@cbiww10,lombok?,😐 Netral
524,@wesi242,Aku gak kebagian jeruk e?,😡 Negatif
487,@mirna030993,MBGG TUHH GINII!!,😊 Positif
307,@jangangitulagiya,"Kakk, hati2 yaa. BGN sudah melarang penggunaan sari kacang ijo kemasan spt itu krn kandungan gulanya",😡 Negatif
7,@margaveronce67,MBG kata kawan sekelas bilang nya M: Makanan B: Beracun G: Gratis🗿,😡 Negatif
573,@skycasties,bukannya keripik'an gaboleh ya kak? soalnya kandungan gizinya gajelas,😡 Negatif
329,@khuyyy15,menu mbg kalian apa,😐 Netral
510,@dwipasaari,setiap hari dapet mbg,😊 Positif
19,@autor_lokal,dia yg bilang sendiri makan gratis bukan makan bergizi,😡 Negatif
111,@r4hma_khaira15,itu berapa hari kak,😐 Netral
385,@co0kiess40,kok samaa jir tdi pagi persis dpet ini jg,😐 Netral
193,@yassssa21,gw skolah dulu gada program mbg nasib nasib😅,😡 Negatif
95,@heruprasetiyo59,kukusan tahu,😐 Netral
234,@justpookie_rantes,untung aku pernah tiga kaliðŸ˜œ,😊 Positif
51,@senfaiy23hsu,nyatanya mbg nggak pernah seperti itu,😡 Negatif
534,@joshuahartono2911,"@alterntif.shopping:Hidupp program prabowoo setidak nya uang drasakan oleh para rakyatt bukan di makan untuk prut pribadi, pengang",😊 Positif
564,@kadeabcd,mbg anakku TK selalu dibwa plg gamau dimakan,😡 Negatif
526,@yulaikah261,kunduran kemarenn,😐 Netral
239,@user6865010066213,yg salah bukan presiden yg kelola yg kelola yg di ..jangan presiden yg di hujad,😊 Positif
537,@adilarafaaa,kak spill cetakan nasi yg kotaknya pake apaa,😐 Netral
158,@nurini1301,mbg kapan kami dapat sekolaku 008tambun,😐 Netral
119,@cndy_1105,kurang ayam nya min,😡 Negatif
231,@rhmatnrhda,kapan di adakan mbg untuk ayam,😐 Netral
495,@apinnn1459,tag sppg kalian,😐 Netral
2,@duarius59,ini bukti dapur MBG ga dikorupsi😁,😊 Positif
398,@adriana_ndila,mbg di kampungku ðŸ—¿,😐 Netral
489,@araasww,ini mah mbgnya g korupsi keren,😊 Positif
248,@iieyuank10,Min ko ga bisa downlod videonya?,😡 Negatif
454,@akbaralmunawir,SEDANGKAN MBG GUA,😐 Netral
481,@66uuuu66,meanwhile mbg gua..,😡 Negatif
409,@sdmuhammadiyahtegalgede,minn menu nya besok apaa niehh,😐 Netral
11,@namaakumanz,di skolah gw nolak mbg jirr,😡 Negatif
558,@tulangigakamu,tp yg di terima menu nya begini.. gmn tuh,😡 Negatif
222,@mss.ayaan690,tutup ajah mbg tamba naik barang dapur,😡 Negatif
401,@bibiyyaaa,izin kenapa MBG tidak untuk anak paud dan TK? sedangkan di usia segitu peting sekali mendapat asupan makanan sehat,😐 Netral
162,@user7148770927298,pak kalo MBG ini ke SD 3 pringga baya Utara kalo bingkisan nya di banyakin masah ada sedikit 3 macam dalam 2 hari,😡 Negatif
246,@wariyah399,[Sticker],😐 Netral
485,@ara_cwkeonho,SEKOLAH BERUNTUNG MANAA GWE TANYAA!!!,😊 Positif
362,@niungggg,MAUUUU,😊 Positif
578,@alvino_sbt,MBG!!!!!!!!!!!!!!!!!!,😐 Netral
382,@ddeyaa05,KOKK SEKOLAH GUE BELUM DAPET ANJR ðŸ˜­ðŸ˜­,😡 Negatif
169,@tru_146,aku baru tadi dapet besok menu nya apa ya?? [thinking][thinking],😐 Netral
436,@surazuli24,yg di pamerin pasti yg bagus nya aj,😡 Negatif
159,@nenejum.nejum,In lokasiny d manah.tuh sehat tpi ngak tau jugah,😐 Netral
76,@mama.acha129,tag SPPG kaliann,😐 Netral
511,@saadaaa,sklh ku burgerny pk telur,😐 Netral
321,@dede_sukaeskrim,buah yg sering ada di mbg -anggur -jeruk -melon -semangka -pisang,😐 Netral
550,@latasyaamora,berkelasss,😊 Positif
218,@haaaalooooooo123,ini yg dpt cuman yg sekolah negri ya,😐 Netral
123,@ipi1_aj4,tag sppg kalian😭👇,😐 Netral
361,@etyy403,dii daerah aku gaa gituu   plssðŸ˜­,😡 Negatif
178,@jidannugan,enak banget mbg nya makasih mbg,😊 Positif
386,@dwipasaari,setiap hari dapet mbgðŸ˜†ðŸ˜‹,😊 Positif
88,@riswanto6148,nih amanah 🥰🥰🥰,😊 Positif
456,@nanac_09,tag sppg kalian,😐 Netral
363,@17.kepo,KOK BANYAKK?   ðŸ˜­,😐 Netral
48,@akbaralmunawir,SEDANGKAN MBG GUA🍗🍳🍗🍳🍗🍳,😡 Negatif
175,@matchalatteeu1,mie ayamnya kapan min?,😐 Netral
149,@iski.nurul,mbg di tempat ku ka😍,😐 Netral
68,@riaaavvhss5,mbg disini,😐 Netral
46,@umikeisyafadiel,mbg anaku sd tangerang ciputat,😐 Netral
55,@rikamaulida35,"mbg d tmpatku , telor di balado ,kalo ngga , telor di rebus pake tepung panir 😭",😐 Netral
34,@maneez_0,enaknya tadi eee,😊 Positif
100,@pabriktahufbikudus2010,Barang kali bisa ikut supply untuk konsumsi,😐 Netral
369,@linda03_050,punya gw roti tawarnya   penyok njrðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,😡 Negatif
429,@ekoa339,"knp ini mantap ,tp di kenyataan nya ngga sesuai",😡 Negatif
125,@delzz_stcu,tag sppg kalian di bawah ⬇,😐 Netral
507,@apasihbeajah79_,tadi di sekolah ku isinya mie ayam kak,😊 Positif
90,@coklatmaniss516,request sate ayam lontong min hari kamis,😐 Netral
303,@daaa_380,sedang kan MBG kuðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸ«›ðŸ¥•ðŸ¥¬ðŸˆðŸˆðŸˆðŸ—ðŸ¥š,😊 Positif
269,@winaaaaa2908,"duh nyeriÂ² ya komenannya,, padahal di sekolah saya makananya juga gini, malahan buahnya lebih banyak, segitunya benci pak prabowo",😊 Positif
302,@cicim0d,enak e,😊 Positif
274,@mas.boy5270,btw.biaya produksi gak sampe 10rb tuh....,😡 Negatif
172,@aimanarrayyanfakaubun,plis min 2 dapet stobery & susu,😐 Netral
257,@febiianaaa,"NAHH GINII LOOO, kmrnn aku di kasii dimsum tapi pke nasi",😊 Positif
4,@wv__up,sekolah lain : 🍗🍖🍔🍚 sekolah ku : 🥚🍉tahu🥗🍚,😡 Negatif
1,@misterimisteriuss13,kasihan ihhhh,😡 Negatif
106,@viol3tchild,"sppg orng"" kok pada amanah yaa",😊 Positif
114,@onyxzslbw,punya ku buah naga nya mentah min,😡 Negatif
381,@apasihbeajah79_,tadi di sekolah ku isinya mie ayam kakðŸ”¥,😊 Positif
418,@widiaazzaa,mantapsðŸ™ðŸ™,😊 Positif
270,@amanahimmortalsolo,Knp kebanyakan pakai ayam mentok sayap sm paha bawah apa klu dada melebihi anggaran,😡 Negatif
189,@latifganiya,ugtjothivhrufufjrjfj j❤️💝💐👫,😐 Netral
